"ticker","market","price","above_cloud","bull_cloud","MA50_diff","RS_1m","RS_3m","Momentum","TrendLabel","updated_at"
"CNP","US",44.0200004577637,TRUE,TRUE,9.70443264192524,11.1385986163038,11.7754622978406,64.0862944162436,"Monitor","2026-03-05"
"ETR","US",106.48999786377,TRUE,TRUE,9.10413295598685,10.9029556376044,11.8499340457436,64.0862944162436,"Monitor","2026-03-05"
"JNJ","US",245.300003051758,TRUE,TRUE,8.51063174332679,6.11470903224021,17.7814839668915,63.9593908629442,"Monitor","2026-03-05"
"ES","US",75.3199996948242,TRUE,TRUE,7.57387382381286,10.3562346685608,12.3792109039493,63.8324873096447,"Monitor","2026-03-05"
"O","US",66,TRUE,TRUE,7.25185092946968,8.65156522897408,13.9087921836346,63.8324873096447,"Monitor","2026-03-05"
"AAF","UK",360,TRUE,TRUE,3.26903781837196,10.5360515657827,12.2167614816909,63.8324873096447,"Monitor","2026-03-05"
"PHI","UK",927,TRUE,TRUE,5.82433388890157,4.29818225736849,20.6561197557899,63.261421319797,"Monitor","2026-03-05"
"AEP","US",133.520004272461,TRUE,TRUE,9.9804486341431,12.0773964481633,10.2518556586355,63.1979695431472,"Monitor","2026-03-05"
"JBL","US",255.179992675781,TRUE,TRUE,3.65333253928575,4.80027612196512,19.4909213096235,63.0710659898477,"Monitor","2026-03-05"
"GWW","US",1148.4599609375,TRUE,TRUE,5.62097515740977,4.65904228751066,19.5129812747754,62.8172588832487,"Monitor","2026-03-05"
"NG","UK",1345,TRUE,TRUE,7.47532861880218,6.84619450077957,15.6197382560519,62.5634517766497,"Monitor","2026-03-05"
"DVN","US",43.4900016784668,TRUE,TRUE,8.92379061264862,8.01577370412399,13.8635903301408,62.4365482233503,"Monitor","2026-03-05"
"CTRA","US",30.5499992370605,TRUE,TRUE,8.48875426850165,9.39690116020602,12.5381334979688,62.1827411167513,"Monitor","2026-03-05"
